iteration,time,cost,distance,residual,gradnorm,complviolation,dualviolation,manviolation,maxviolation,meanviolation,second_order_residual,condition_number,rho,upsilon,maxabsLagmult,quadoptim_status,quadoptim_iter,quadoptim_gap,quadoptim_primalobjective,quadoptim_dualobjective,quadoptim_primalinfeasibility,quadoptim_dualinfeasibility,normdx,stepsize,df0,linesearch_status,linesearch_counter
46,1.9704852104187012,40000009.55612085,0.02301449599046333,117.45666135678047,117.45666135556941,0.0005333804295513527,0.0,0,0.0,0.0,-107.71681058669702,-371078.29379420454,284663.3443652137,39.03472160400178,39.03472160400178,unknown,16.0,4.490718435246552e-19,-0.0070399062323943775,-0.007039906232394378,2.2167661801441625e-16,1.4787511377235676e-12,0.059414884423535846,0.38742048900000015,0.012591105572881922,1.0,9.0
47,2.011970281600952,40000009.55476789,0.014191696545982265,622.1310772615169,622.1310763239027,0.034156081200835145,0.0,0,0.0,0.0,-229.90144784777127,-173843.34257098494,284663.3443652137,1.5551845202343053,1.5551845202343053,optimal,9.0,1.5330160928368298e-13,-0.04714787222675175,-0.04714787222690491,3.0395060439501806e-16,1.0165446493399276e-13,0.06203782619067814,0.22876792454961012,0.00573987013421552,1.0,14.0
48,2.053626537322998,40000009.55340842,0.01388604456190848,457.04635702186874,457.0463569342982,0.008946930852119723,0.0,0,0.0,0.0,-256.1753003101696,-156088.04136050763,284663.3443652137,58.61760663422009,58.61760663422009,optimal,12.0,1.5303367266548036e-13,-0.022424913049017087,-0.02242491304913567,1.3253174839356748e-15,3.881347319110605e-13,0.17409445608927612,0.07976644307687257,0.018534114704847584,1.0,24.0
49,2.0947628021240234,40000009.54803384,0.01314630308033782,349.600088160055,349.600088156967,0.0014694013289972036,0.0,0,0.0,0.0,-330.70241679198347,-120930.94888889423,284663.3443652137,52.68589365473065,52.68589365473065,optimal,11.0,7.049248413664646e-13,-0.013810123185323259,-0.013810123186028185,1.9880141604569125e-16,1.9208467501785207e-14,0.013146843859076334,1.0,0.015210415276096267,1.0,0.0
50,2.1380615234375,40000009.547965795,0.002956271317241432,349.5367243703314,349.5367241610309,0.01209613195381298,0.0,0,0.0,0.0,-426.81476474304606,-93705.07891677177,284663.3443652137,0.7526154680519782,0.7526154680519782,optimal,11.0,1.8815025447029951e-16,-0.024699768627334723,-0.02469976862733491,1.2615828833985625e-16,7.128385299648012e-13,0.3763484364427531,0.00785516721127895,0.025015906585631506,1.0,46.0
51,2.204120397567749,40000009.54075577,0.01759549554618745,184.62027471871176,184.62027459136866,0.006857130123662874,0.0,0,0.0,0.0,-92.60999940180953,-431917.03066691884,284663.3443652137,101.86104569473794,101.86104569473794,optimal,10.0,8.220029544490983e-13,-0.018931251726972124,-0.01893125172779413,1.6129484120768966e-16,2.3841074743018124e-13,0.10551692234721967,0.16677181699666577,0.01548758822348996,1.0,17.0
52,2.2454116344451904,40000009.53888774,0.010497766422993462,161.82601268943506,161.8260126344279,0.004219380907140545,0.0,0,0.0,0.0,-71.26228609454802,-561297.67201998,284663.3443652137,90.05022602634601,90.05022602634601,optimal,12.0,2.545446243985279e-13,-0.010949036311641867,-0.01094903631189641,2.8091916989072116e-16,1.548716105700383e-13,0.024387500315229235,0.43046721000000016,0.007107130733989285,1.0,8.0
53,2.2863547801971436,40000009.53341466,0.004721952071303627,19.421451445552698,19.42145144553365,2.7202628961996005e-05,0.0,0,0.0,0.0,-6.665438837703553,-6000902.10783199,284663.3443652137,44.31427837441122,44.31427837441122,optimal,11.0,1.5197878681147158e-13,-0.005074702032509074,-0.005074702032661053,1.5284711215622158e-16,2.7922769073530863e-14,0.0047219842309622565,1.0,0.0091739986001046,1.0,0.0
54,2.328364372253418,40000009.5326314,0.01636305229330387,139.93974922114137,139.93974798226475,0.018620852930476932,0.0,0,0.0,0.0,-248.74403571444154,-160764.0466956648,284663.3443652137,27.466957222850226,27.466957222850226,unknown,18.0,1.0036835830550659e-23,-0.023286914606165485,-0.023286914606165488,1.1890296274391863e-16,1.0472171700269548e-11,0.098125073223548,0.16677181699666577,0.0014704934032054426,1.0,17.0
55,2.370326519012451,40000009.52779156,0.009766312858074493,71.30879856161881,71.30879684761224,0.015634816794051154,0.0,0,0.0,0.0,-15.158475723060263,-2637622.394604178,284663.3443652137,22.77246754731887,22.77246754731887,optimal,14.0,1.7501764098057574e-16,-0.025066974056646048,-0.025066974056646218,2.513609951894459e-16,7.535384828492807e-13,0.08925828986858411,0.10941898913151243,0.0051176838620098425,1.0,21.0
56,2.4115397930145264,40000009.52707127,0.0034704541283694006,76.45601715711908,76.45601715711906,1.4503748810510566e-06,0.0,0,0.0,0.0,-17.222593593166955,-2321344.374007748,284663.3443652137,25.33660129442826,25.33660129442826,optimal,11.0,1.1878709391834765e-14,-0.0016005181711370713,-0.0016005181711488657,2.2082782772532168e-16,3.0908561956414893e-13,0.012287894762547685,0.28242953648100017,0.0031479950544135112,1.0,12.0
57,2.4529240131378174,40000009.52699397,0.007617629196297126,39.55449729115895,39.554497286587285,0.0006013817069316733,0.0,0,0.0,0.0,17.429972251114904,2293123.0386574916,284663.3443652137,41.31707839582174,41.31707839582174,optimal,11.0,9.377775111247279e-13,-0.0018134211975401214,-0.0018134211984768514,2.638279974132801e-16,7.808057910352044e-13,0.05639232102241001,0.13508517176729928,0.0022531479743250994,1.0,19.0
58,2.4947614669799805,40000009.52697355,0.0026624349962101885,43.3545442498862,43.35454393392846,0.00523415777404662,0.0,0,0.0,0.0,4.385609294375624,9114529.50008219,284663.3443652137,21.883583967377792,21.883583967377792,unknown,15.0,2.6871022535761775e-20,-0.006359445858372837,-0.006359445858372838,1.479598170903104e-16,2.8800840908952496e-12,0.10636336325833208,0.025031555049932444,0.0018687997871227483,1.0,35.0
59,2.5362167358398438,40000009.52651121,0.009159653295649781,123.42976830591628,123.42976826302782,0.0032538325900539544,0.0,0,0.0,0.0,-115.98668021213652,-344507.756998882,284663.3443652137,3.8178447732516974,3.8178447732516974,unknown,12.0,2.55245859275431e-22,-0.005981090621318933,-0.005981090621318933,1.1925332193583363e-16,1.8123183157254665e-12,0.09301549024631761,0.0984770902183612,0.004814596886226187,1.0,22.0
60,2.577770709991455,40000009.5258009,0.007511909933441333,88.78483664905417,88.78483596945509,0.010985271306028619,0.0,0,0.0,0.0,-104.95552046044548,-380814.84697647294,284663.3443652137,37.62207577979177,37.62207577979177,optimal,11.0,4.541741576790808e-13,-0.014374953949915226,-0.0143749539503694,1.9386014566642723e-16,6.753356405542547e-13,0.055609395875848,0.13508517176729928,0.001256815394215265,1.0,19.0
61,2.6190645694732666,40000009.52461883,0.008644856998160647,190.61075571418755,190.6107557139442,0.00030458424741331455,0.0,0,0.0,0.0,-58.37767349090731,-684543.6900393274,284663.3443652137,20.89456567281255,20.89456567281255,optimal,11.0,2.2218088973104683e-14,-0.0034066892432839295,-0.0034066892433061474,8.439238027563333e-17,3.9513513450607015e-13,0.02231423082312969,0.38742048900000015,0.005557222014464684,1.0,9.0
62,2.6611812114715576,40000009.52442641,0.010811531701198838,149.13056557409794,149.13056521109786,0.010405230383987742,0.0,0,0.0,0.0,-376.96826843932155,-106049.16208833584,284663.3443652137,128.5857508002164,128.5857508002164,optimal,11.0,6.208557994293471e-13,-0.015749801223931555,-0.015749801224552416,1.45199749148995e-16,7.952984257182176e-13,0.0583473945890855,0.1853020188851842,0.003990778954339366,1.0,16.0
